Group tours search,Local,wordpress,class,,Group tours filters by country + class local,Group tours filters by country + class wp,
,CPTPKTHISSASDCGST,CPTPKTHISSASDCGST,,,NBOPKARP001ENCHAN,0,
,CPTPKTHISSASDCRDX,CPTPKTHISSASDCRDX,,,NBOPKARP001FIMMGV,0,
,CPTPKTVT001CTCLCM,CPTPKTVT001CTCLCM,,,NBOPKARP001FIMMKT,0,
,CPTPKTVT001CTCLHO,CPTPKTVT001CTCLHO,,,NBOPKARP001FIMMLG,0,
,CPTPKTVT001CTCLPW,CPTPKTVT001CTCLPW,,,NBOPKARP001FIMSER,0,
,CPTPKTVT001CTCLRB,CPTPKTVT001CTCLRB,,,NBOPKARP001WDD,0,
,CPTPKTVT001CTCLSS,CPTPKTVT001CTCLSS,,,NBOPKTHISSAWLWFPC,0,
,CPTPKTVT001CTCLTB,CPTPKTVT001CTCLTB,,,,,
,CPTPKTVT001CTCLVA,CPTPKTVT001CTCLVA,,,Kenya + Deluxe local,Kenya + Deluxe WP,
,CPTPKTVT001CTCLVL,CPTPKTVT001CTCLVL,,,,,
,CPTPKTVT001CTERHO,CPTPKTVT001CTERHO,,,NBOPKARP001CKSNPK,0,
,CPTPKTVT001CTERPW,CPTPKTVT001CTERPW,,,NBOPKARP001ENCHAN,NBOPKARP001ENCHAN,
,CPTPKTVT001CTERRB,CPTPKTVT001CTERRB,,,NBOPKARP001FIMMGV,0,
,CPTPKTVT001CTERSS,CPTPKTVT001CTERSS,,,NBOPKARP001FIMMKT,0,
,CPTPKTVT001CTERTB,CPTPKTVT001CTERTB,,,NBOPKARP001FIMMLG,0,
,CPTPKTVT001CTERVC,CPTPKTVT001CTERVC,,,NBOPKARP001FIMSER,NBOPKARP001FIMSER,
,CPTPKTVT001CTERVL,CPTPKTVT001CTERVL,,,NBOPKARP001WDD,NBOPKARP001WDD,
,CPTPKTVT001CTEXCM,CPTPKTVT001CTEXCM,,,NBOPKTHISSAWLWFPC,NBOPKTHISSAWLWFPC,
,CPTPKTVT001CTEXHO,CPTPKTVT001CTEXHO,,,TEST PACKAGE EXCLUDED,NBOGPARP001CKSLP,
,CPTPKTVT001CTEXPW,CPTPKTVT001CTEXPW,,,,,
,CPTPKTVT001CTEXRB,CPTPKTVT001CTEXRB,,,Kenya + luxury local,Kenya + luxury wp,
,CPTPKTVT001CTEXSS,CPTPKTVT001CTEXSS,,,,,
,CPTPKTVT001CTEXTB,CPTPKTVT001CTEXTB,,,,NBOPKARP001FIMMGV,
,CPTPKTVT001CTEXVA,CPTPKTVT001CTEXVA,,,NBOPKARP001FIMMKT,NBOPKARP001FIMMKT,
,CPTPKTVT001CTEXVL,CPTPKTVT001CTEXVL,,,NBOPKARP001FIMMLG,NBOPKARP001FIMMLG,
,CPTPKTVT001CTRCO,CPTPKTVT001CTRCO,,,NBOPKARP001CKSNPK,0,
,,,,,NBOPKARP001ENCHAN,0,
,,,,,NBOPKARP001FIMSER,0,
South Africa/CapeTownAirport/Deluxe,CPTPKTHISSACPGRKA,CPTPKTHISSACPGRKA,,,NBOPKARP001WDD,0,
South Africa/CapeTownAirport/Deluxe,CPTPKTHISSASCENDX,CPTPKTHISSASCENDX,,,NBOPKTHISSAWLWFPC,0,
South Africa/CapeTownAirport/Deluxe,CPTPKTHISSASDCRDX,CPTPKTHISSASDCRDX,,,,,
South Africa/CapeTownAirport/Deluxe,CPTPKTVT001CTCLCM,CPTPKTVT001CTCLCM,,,Rwanda + Deluxe local,Rwanda + Deluxe wp,
South Africa/CapeTownAirport/Deluxe,CPTPKTVT001CTCLPW,CPTPKTVT001CTCLPW,,,,,
